2020-06-08 11:08:59 configure firefox:amd64 77.0.1+build1-0ubuntu0.18.04.1 <none>
2020-06-08 11:08:59 status unpacked firefox:amd64 77.0.1+build1-0ubuntu0.18.04.1
2020-06-08 11:08:59 status unpacked firefox:amd64 77.0.1+build1-0ubuntu0.18.04.1
2020-06-08 11:08:59 status unpacked firefox:amd64 77.0.1+build1-0ubuntu0.18.04.1
2020-06-08 11:08:59 status unpacked firefox:amd64 77.0.1+build1-0ubuntu0.18.04.1
2020-06-08 11:08:59 status unpacked firefox:amd64 77.0.1+build1-0ubuntu0.18.04.1
2020-06-08 11:08:59 status half-configured firefox:amd64 77.0.1+build1-0ubuntu0.18.04.1
2020-06-08 11:08:59 status installed firefox:amd64 77.0.1+build1-0ubuntu0.18.04.1
2020-06-08 11:08:59 trigproc gnome-menus:amd64 3.13.3-11ubuntu1.1 <none>
2020-06-08 11:08:59 status half-configured gnome-menus:amd64 3.13.3-11ubuntu1.1
2020-06-08 11:08:59 status installed gnome-menus:amd64 3.13.3-11ubuntu1.1
2020-06-08 11:08:59 trigproc hicolor-icon-theme:all 0.17-2 <none>
2020-06-08 11:08:59 status half-configured hicolor-icon-theme:all 0.17-2
2020-06-08 11:09:00 status installed hicolor-icon-theme:all 0.17-2
2020-06-08 11:09:00 trigproc mime-support:all 3.60ubuntu1 <none>
2020-06-08 11:09:00 status half-configured mime-support:all 3.60ubuntu1
2020-06-08 11:09:00 status installed mime-support:all 3.60ubuntu1
2020-06-08 11:09:00 trigproc desktop-file-utils:amd64 0.23-1ubuntu3.18.04.2 <none>
2020-06-08 11:09:00 status half-configured desktop-file-utils:amd64 0.23-1ubuntu3.18.04.2
2020-06-08 11:09:01 status installed desktop-file-utils:amd64 0.23-1ubuntu3.18.04.2
2020-06-08 11:09:01 trigproc man-db:amd64 2.8.3-2ubuntu0.1 <none>
2020-06-08 11:09:01 status half-configured man-db:amd64 2.8.3-2ubuntu0.1
